datetime,A,B,C,D,E,F,G,H,I,J,K,L,M
2024-04-30,5003.615145548023,0.0,-90.72426785714089,5.0,0.0,10.0,-160.43399999999656,-160.43399999999656,12.0,-160.43399999999656,1e+100,-160.43399999999656,1e+100
2024-05-01,5003.615145548023,0.0,-87.07752499999816,5.0,0.0,10.0,-172.8324999999968,-172.8324999999968,12.0,-172.8324999999968,1e+100,-172.8324999999968,1e+100
2024-05-02,5003.615145548023,0.0,-78.03898214285536,5.0,0.0,10.0,-119.22749999999633,-119.22749999999633,12.0,-119.22749999999633,1e+100,-119.22749999999633,1e+100
2024-05-03,5008.340468268524,0.0,-51.403857142855315,5.0,0.0,10.0,-44.94149999999536,-44.94149999999536,13.0,-44.94149999999536,1e+100,-44.94149999999536,1e+100
2024-05-06,5061.923444855098,0.0,-15.538132142855318,5.0,0.0,9.0,21.70350000000417,21.70350000000417,11.0,21.70350000000417,1e+100,21.70350000000417,1e+100
2024-05-07,5072.716772612343,0.0,21.399585714287625,2.0,0.0,9.0,39.86250000000382,39.86250000000382,11.0,39.86250000000382,1e+100,39.86250000000382,11.0
2024-05-08,5075.857433981726,0.0,52.05953928571603,2.0,0.0,10.0,47.19350000000304,47.19350000000304,11.0,47.19350000000304,1e+100,47.19350000000304,1e+100
2024-05-09,5104.321062282639,0.0,89.20574642857301,2.0,0.0,10.0,80.20100000000366,80.20100000000366,11.0,80.20100000000366,1e+100,80.20100000000366,1e+100
2024-05-10,5115.430509168507,0.0,117.09974285714424,2.0,0.0,10.0,98.82450000000335,98.82450000000335,11.0,98.82450000000335,1e+100,98.82450000000335,1e+100
2024-05-13,5118.183483710082,0.0,136.45576785714422,2.0,0.0,10.0,105.26400000000376,105.26400000000376,11.0,105.26400000000376,1e+100,105.26400000000376,1e+100
2024-05-14,5144.169809524577,0.0,155.18775000000116,2.0,0.0,10.0,136.9250000000029,136.9250000000029,11.0,136.9250000000029,1e+100,136.9250000000029,1e+100
2024-05-15,5204.23881904835,0.0,175.68466071428713,2.0,0.0,10.0,206.88000000000375,206.88000000000375,11.0,206.88000000000375,1e+100,206.88000000000375,1e+100
2024-05-16,5206.503878095932,0.0,187.16310000000152,2.0,0.0,10.0,205.48400000000402,205.48400000000402,11.0,205.48400000000402,1e+100,205.48400000000402,1e+100
2024-05-17,5209.399684191136,0.0,190.686689285716,2.0,0.0,10.0,215.80450000000474,215.80450000000474,11.0,215.80450000000474,1e+100,215.80450000000474,1e+100
2024-05-20,5212.044699981579,0.0,193.0621607142875,2.0,0.0,10.0,224.49200000000383,224.49200000000383,11.0,224.49200000000383,1e+100,224.49200000000383,1e+100
2024-05-21,5227.4844649825,0.0,199.340692857145,2.0,0.0,10.0,238.87450000000445,238.87450000000445,11.0,238.87450000000445,1e+100,238.87450000000445,1e+100
2024-05-22,5228.464241733374,0.0,199.32863214285948,3.0,0.0,10.0,225.58500000000458,225.58500000000458,11.0,225.58500000000458,1e+100,225.58500000000458,1e+100
2024-05-23,5228.464241733374,0.0,184.88393214285966,3.0,0.0,10.0,185.06450000000405,185.06450000000405,11.0,185.06450000000405,1e+100,185.06450000000405,1e+100
2024-05-24,5228.464241733374,0.0,179.79873214285973,3.0,0.0,10.0,221.17350000000351,221.17350000000351,11.0,221.17350000000351,1e+100,221.17350000000351,1e+100
