datetime,A,B,C,D,E
2024-02-01,-0.22387931900481434,1.0,0.0,1.4273295076382961,2.0
2024-02-02,-0.20887242734941644,1.0,0.0,1.2659441093854835,2.0
2024-02-05,-0.20861542406813455,1.0,0.0,1.132828930116184,2.0
2024-02-06,-0.20743179119083174,1.0,0.0,1.0241641457779016,2.0
2024-02-07,-0.21903827483338364,1.0,0.0,0.9258683995883933,2.0
2024-02-08,-0.2471910896059612,1.0,0.0,0.790763385980573,2.0
2024-02-09,-0.2874363164346037,1.0,0.0,0.567668502837848,2.0
2024-02-12,-0.33237181726638343,1.0,0.0,0.23651990473529363,2.0
2024-02-13,-0.3345875028279744,1.0,0.0,-0.15553069143967405,3.0
2024-02-14,-0.29126654899094245,1.0,0.0,-0.5755311858174464,3.0
2024-02-15,-0.2481241700687551,1.0,0.0,-0.9794690607456316,3.0
2024-02-16,-0.20170000560888415,1.0,0.0,-1.277761292338281,3.0
2024-02-20,-0.12341571780812041,1.0,0.0,-1.4601978509427924,3.0
2024-02-21,-0.01244142359583853,1.0,0.0,-1.5296956175435423,3.0
2024-02-22,0.06541332029303687,0.0,0.0,-1.5211406716394071,3.0
2024-02-23,0.07360970654108877,0.0,0.0,-1.466408789642446,3.0
2024-02-26,0.05478476448479416,0.0,0.0,-1.4219655114747878,3.0
2024-02-27,0.03483485364109946,0.0,0.0,-1.4660083336343763,3.0
2024-02-28,0.024871208357377734,0.0,0.0,-1.617788176271904,3.0
2024-02-29,0.02216090293833476,0.0,0.0,-1.8558576079494942,3.0
2024-03-01,-0.0002971693507563208,1.0,0.0,-2.1249143623100344,3.0
2024-03-04,-0.0410378610286773,1.0,0.0,-2.44789360734994,3.0
2024-03-05,-0.04954606326205952,1.0,0.0,-2.676396665428916,3.0
2024-03-06,-0.013735671111261304,1.0,0.0,-2.748368691053413,3.0
2024-03-07,0.014704413109469546,0.0,0.0,-2.7720254868314993,3.0
2024-03-08,0.035747225790293914,0.0,0.0,-2.7754483775457572,3.0
2024-03-11,0.08139774663857274,0.0,0.0,-2.770802105440973,3.0
2024-03-12,0.11965582906769894,0.0,0.0,-2.7575366920835225,3.0
2024-03-13,0.1332911770912243,0.0,0.0,-2.7565091570827307,3.0
2024-03-14,0.1539769698118281,0.0,0.0,-2.7336320494881425,3.0
2024-03-15,0.2140184538524587,0.0,0.0,-2.6694510239908174,3.0
2024-03-18,0.302743500005226,0.0,0.0,-2.5368850070637414,3.0
2024-03-19,0.37428055589408527,0.0,0.0,-2.3107474366332927,3.0
2024-03-20,0.393313386193109,0.0,0.0,-2.053031915244761,3.0
2024-03-21,0.34982179485972176,0.0,0.0,-1.8151085488437768,3.0
2024-03-22,0.27510925215558035,0.0,0.0,-1.5909545590875125,3.0
2024-03-25,0.21149410026769921,0.0,0.0,-1.418696340827025,3.0
2024-03-26,0.1891036707421395,0.0,0.0,-1.3299003992764424,3.0
2024-03-27,0.1855630782739905,0.0,0.0,-1.2918072389877138,3.0
2024-03-28,0.17237605985993135,0.0,0.0,-1.246665117356757,3.0
2024-04-01,0.16771158938897968,0.0,0.0,-1.1469574745721356,3.0
2024-04-02,0.21025206720878536,0.0,0.0,-0.9939082584738802,3.0
2024-04-03,0.30911753268275766,0.0,0.0,-0.8068831278784336,3.0
2024-04-04,0.48106192603916176,0.0,0.0,-0.6104194601788223,3.0
2024-04-05,0.6934189621487679,0.0,0.0,-0.38945469675749317,3.0
2024-04-08,0.8783642280397026,0.0,0.0,-0.14741270769833487,3.0
2024-04-09,1.0283676291400243,0.0,0.0,0.0939988461266975,2.0
2024-04-10,1.1714342270617843,0.0,0.0,0.3112259856113651,2.0
2024-04-11,1.3024674007732393,0.0,0.0,0.4807296401114061,2.0
2024-04-12,1.4338132504973196,0.0,0.0,0.6231761621014003,2.0
2024-04-15,1.6279163258006768,0.0,0.0,0.7735668617784354,2.0
2024-04-16,1.8612172343527549,0.0,0.0,0.9515710058253681,2.0
2024-04-17,2.0857818716851386,0.0,0.0,1.1497974845133745,2.0
2024-04-18,2.2699971965519437,0.0,0.0,1.3410766914287147,2.0
2024-04-19,2.4059756024517505,0.0,0.0,1.502069996988896,2.0
2024-04-22,2.4713071551338497,0.0,0.0,1.6022752780839224,2.0
2024-04-23,2.4290507877334098,0.0,0.0,1.6262514026440469,2.0
2024-04-24,2.3016641921014016,0.0,0.0,1.6076616280947829,2.0
2024-04-25,2.1433916989278945,0.0,0.0,1.5750005085547418,2.0
2024-04-26,1.9651554319123983,0.0,0.0,1.5292856228706384,2.0
2024-04-29,1.761108377019074,0.0,0.0,1.4679328129761704,2.0
2024-04-30,1.5781473461656452,0.0,0.0,1.427624002576749,2.0
2024-05-01,1.4514654488314134,0.0,0.0,1.4319273986254664,2.0
2024-05-02,1.350984429598979,0.0,0.0,1.4447572188936872,2.0
2024-05-03,1.2297825960860418,0.0,0.0,1.4283497598670858,2.0
2024-05-06,1.0612270864435818,0.0,0.0,1.3727423601651367,2.0
2024-05-07,0.8542303109440713,0.0,0.0,1.2903306468154618,2.0
2024-05-08,0.6364445694672561,0.0,0.0,1.1999182514249849,2.0
2024-05-09,0.4188265914003475,0.0,0.0,1.1079074515853005,2.0
2024-05-10,0.20577829074206108,0.0,0.0,1.0259750423188214,2.0
2024-05-13,0.011412896444650008,0.0,0.0,0.955807861089275,2.0
2024-05-14,-0.16226452497206637,1.0,0.0,0.8801952407169461,2.0
2024-05-15,-0.33918961088648936,1.0,0.0,0.7714130939102914,2.0
2024-05-16,-0.5181646887989494,1.0,0.0,0.6310250198817685,2.0
2024-05-17,-0.6746930461447865,1.0,0.0,0.4710248262726191,2.0
2024-05-20,-0.8009974208670891,1.0,0.0,0.27286297252845243,2.0
2024-05-21,-0.8973087323628036,1.0,0.0,0.05852727024758208,2.0
2024-05-22,-0.9586223463904646,1.0,0.0,-0.134595113267808,3.0
2024-05-23,-0.9647593358062462,1.0,0.0,-0.2793115914811824,3.0
2024-05-24,-0.9297395209512611,1.0,0.0,-0.38342539801415754,3.0
2024-05-28,-0.8819787524116667,1.0,0.0,-0.4683990130259123,3.0
2024-05-29,-0.809460994297159,1.0,0.0,-0.5203722906665165,3.0
2024-05-30,-0.6942232818032442,1.0,0.0,-0.523782541070503,3.0
2024-05-31,-0.5622280026853477,1.0,0.0,-0.47943242851126777,3.0
2024-06-03,-0.44652757442350016,1.0,0.0,-0.419021321722273,3.0
2024-06-04,-0.35237029597966646,1.0,0.0,-0.36794411436909785,3.0
2024-06-05,-0.3055658977958729,1.0,0.0,-0.33416773503632324,3.0
2024-06-06,-0.31435217773945023,1.0,0.0,-0.3136190343390618,3.0
2024-06-07,-0.3490836103656144,1.0,0.0,-0.2845382687844983,3.0
2024-06-10,-0.3951909282228216,1.0,0.0,-0.24076201990944657,3.0
2024-06-11,-0.45127611695205133,1.0,0.0,-0.18241729021792621,3.0
2024-06-12,-0.5292502449550944,1.0,0.0,-0.11822985379258719,3.0
2024-06-13,-0.6327944995212157,1.0,0.0,-0.04210183474615058,3.0
2024-06-14,-0.7391159395004416,1.0,0.0,0.05447167553907437,2.0
2024-06-17,-0.8459279206236777,1.0,0.0,0.15254372636244426,2.0
2024-06-18,-0.9575986901701529,1.0,0.0,0.2479770990249846,2.0
2024-06-20,-1.0500916743987891,1.0,0.0,0.34057500921029327,2.0
2024-06-21,-1.1007672512361848,1.0,0.0,0.4202252959213329,2.0
2024-06-24,-1.0996504231734965,1.0,0.0,0.5000622179037311,2.0
2024-06-25,-1.0596985446305827,1.0,0.0,0.569188414229921,2.0
2024-06-26,-1.0035961823662052,1.0,0.0,0.6085344482862753,2.0
2024-06-27,-0.93904946005416,1.0,0.0,0.6189894158129698,2.0
2024-06-28,-0.857821491446125,1.0,0.0,0.6233673682294578,2.0
2024-07-01,-0.7610638997288827,1.0,0.0,0.6502627256859461,2.0
2024-07-02,-0.6765686452456691,1.0,0.0,0.696109845260487,2.0
2024-07-03,-0.6265170954734933,1.0,0.0,0.7575445247462268,2.0
2024-07-05,-0.6197820076654003,1.0,0.0,0.8256391969496196,2.0
2024-07-08,-0.6472875498672201,1.0,0.0,0.8886931460971103,2.0
2024-07-09,-0.6877065938610718,1.0,0.0,0.9338897569658384,2.0
2024-07-10,-0.7503728814669707,1.0,0.0,0.9559997049251262,2.0
2024-07-11,-0.8128698235859434,1.0,0.0,0.9465729007874027,2.0
2024-07-12,-0.8488846201696066,1.0,0.0,0.8975705594695182,2.0
2024-07-15,-0.8758118897736517,1.0,0.0,0.7784067040339887,2.0
2024-07-16,-0.9070272779054699,1.0,0.0,0.5739486513207768,2.0
2024-07-17,-0.9049494193193676,1.0,0.0,0.33630456673711234,2.0
2024-07-18,-0.8128187406657542,1.0,0.0,0.11809406534523736,2.0
2024-07-19,-0.6235707722137087,1.0,0.0,-0.10609702217874398,3.0
2024-07-22,-0.39082373792508135,1.0,0.0,-0.3609644935672938,3.0
2024-07-23,-0.16705742512255278,1.0,0.0,-0.5964099131823646,3.0
2024-07-24,0.10904209527641658,0.0,0.0,-0.7671271322880865,3.0
2024-07-25,0.47815936245600915,0.0,0.0,-0.8538698635070984,3.0
2024-07-26,0.8534629000322599,0.0,0.0,-0.8924310906504163,3.0
2024-07-29,1.157553090994516,0.0,0.0,-0.9085781536641421,3.0
2024-07-30,1.391744549372585,0.0,0.0,-0.8747454404193341,3.0
2024-07-31,1.5247768963005643,0.0,0.0,-0.7950820011218638,3.0
2024-08-01,1.5757828987206983,0.0,0.0,-0.6719397244401947,3.0
2024-08-02,1.6487200258731194,0.0,0.0,-0.49538256420533167,3.0
2024-08-05,1.826414740924879,0.0,0.0,-0.2562331955091051,3.0
2024-08-06,2.0585046788507606,0.0,0.0,0.019240809698893923,2.0
2024-08-07,2.252029957379044,0.0,0.0,0.3058602300807872,2.0
2024-08-08,2.342719753288518,0.0,0.0,0.5722969515929338,2.0
2024-08-09,2.3015285371566265,0.0,0.0,0.7732361952366684,2.0
2024-08-12,2.1786191320767228,0.0,0.0,0.9190587147501244,2.0
2024-08-13,1.9888273382440165,0.0,0.0,1.0113065092745193,2.0
2024-08-14,1.7404807796229276,0.0,0.0,1.0586241280298376,2.0
2024-08-15,1.4425086294296723,0.0,0.0,1.0756460830728385,2.0
2024-08-16,1.1047262557569988,0.0,0.0,1.0610886674959348,2.0
2024-08-19,0.7452901848176836,0.0,0.0,1.0159294430102275,2.0
2024-08-20,0.384580425091261,0.0,0.0,0.9497347816444354,2.0
2024-08-21,0.048081317170785176,0.0,0.0,0.8587842562729087,2.0
2024-08-22,-0.23340224043801608,1.0,0.0,0.7560595474692486,2.0
2024-08-23,-0.4564572535940589,1.0,0.0,0.6322948910283275,2.0
2024-08-26,-0.6338250200844525,1.0,0.0,0.4739907702887374,2.0
2024-08-27,-0.7575643670139697,1.0,0.0,0.32749987189446356,2.0
2024-08-28,-0.8222787788794936,1.0,0.0,0.23211150473021525,2.0
2024-08-29,-0.8274579971582653,1.0,0.0,0.1915992676967267,2.0
2024-08-30,-0.8100358630678899,1.0,0.0,0.18566629219828437,2.0
2024-09-03,-0.7526620683021106,1.0,0.0,0.22328279662527833,2.0
2024-09-04,-0.6255708776596717,1.0,0.0,0.2995569923191918,2.0
2024-09-05,-0.4534280327582938,1.0,0.0,0.39584218157314044,2.0
2024-09-06,-0.22400729557091345,1.0,0.0,0.5166916453304553,2.0
2024-09-09,0.035520238724829546,0.0,0.0,0.6232349799125776,2.0
2024-09-10,0.2590703101727266,0.0,0.0,0.6678750022338705,2.0
2024-09-11,0.40841811536443134,0.0,0.0,0.6541659976162746,2.0
2024-09-12,0.45959696413894136,0.0,0.0,0.5980394034204617,2.0
2024-09-13,0.41782385491984186,0.0,0.0,0.48556893961704156,2.0
2024-09-16,0.3081893466717405,0.0,0.0,0.3344653875648233,2.0
2024-09-17,0.1637081029574754,0.0,0.0,0.1951790747444344,2.0
2024-09-18,0.017849916428283794,0.0,0.0,0.07714306455533561,2.0
2024-09-19,-0.14547876194624504,1.0,0.0,-0.05516928424128147,3.0
2024-09-20,-0.3358151196318123,1.0,0.0,-0.21863733188284598,3.0
2024-09-23,-0.5222727228398257,1.0,0.0,-0.4014859179405986,3.0
2024-09-24,-0.6948121396025544,1.0,0.0,-0.6029814203868422,3.0
2024-09-25,-0.836000059480715,1.0,0.0,-0.7989942573702213,3.0
2024-09-26,-0.941026259985139,1.0,0.0,-0.9999227487422877,3.0
2024-09-27,-1.0115415582503375,1.0,0.0,-1.2392298953835397,3.0
2024-09-30,-1.0522334732314937,1.0,0.0,-1.468281411528842,3.0
2024-10-01,-1.049903739130599,1.0,0.0,-1.6164873966294027,3.0
2024-10-02,-0.9918744104840203,1.0,0.0,-1.6800586342442718,3.0
2024-10-03,-0.8943026793429781,1.0,0.0,-1.679959990960339,3.0
2024-10-04,-0.7912144359891448,1.0,0.0,-1.661090443207537,3.0
2024-10-07,-0.6848147784605791,1.0,0.0,-1.6727748733045025,3.0
2024-10-08,-0.5787746266666834,1.0,0.0,-1.7195462265869772,3.0
2024-10-09,-0.5165675036470355,1.0,0.0,-1.769427819353451,3.0
2024-10-10,-0.49241759623373615,1.0,0.0,-1.7804504915608474,3.0
2024-10-11,-0.4968193104723307,1.0,0.0,-1.8013599672548157,3.0
2024-10-14,-0.5460154785729034,1.0,0.0,-1.8430254241062471,3.0
2024-10-15,-0.6101455309506297,1.0,0.0,-1.8379544454603416,3.0
2024-10-16,-0.6611421502756271,1.0,0.0,-1.7790662451438586,3.0
2024-10-17,-0.7022159841958512,1.0,0.0,-1.6822435348336067,3.0
2024-10-18,-0.7341398487804836,1.0,0.0,-1.6004703851395634,3.0
2024-10-21,-0.7536307021524852,1.0,0.0,-1.5665112580071288,3.0
2024-10-22,-0.7480167224009361,1.0,0.0,-1.5543221886024685,3.0
2024-10-23,-0.6924751900158534,1.0,0.0,-1.5321532795246384,3.0
2024-10-24,-0.5835898088854349,1.0,0.0,-1.5196295017448747,3.0
2024-10-25,-0.4482081880160079,1.0,0.0,-1.5323893091239098,3.0
2024-10-28,-0.3068422508265716,1.0,0.0,-1.5729947656101433,3.0
2024-10-29,-0.17860496546761986,1.0,0.0,-1.6442622563208773,3.0
2024-10-30,-0.058080355373417034,1.0,0.0,-1.6926643109717991,3.0
2024-10-31,0.11598180922753452,0.0,0.0,-1.684625811068828,3.0
2024-11-01,0.3547630511297313,0.0,0.0,-1.6050504311734617,3.0
2024-11-04,0.6104121492988681,0.0,0.0,-1.4491694456812896,3.0
2024-11-05,0.8251450209551585,0.0,0.0,-1.2501103584019713,3.0
2024-11-06,0.8864469867715427,0.0,0.0,-1.0837609731566495,3.0
2024-11-07,0.7567289729281091,0.0,0.0,-1.00380135684777,3.0
2024-11-08,0.4922919834166708,0.0,0.0,-0.9891872063272712,3.0
2024-11-11,0.15715941181222837,0.0,0.0,-1.1039626643307465,3.0
2024-11-12,-0.18052731523297416,1.0,0.0,-1.3891912482891453,3.0
2024-11-13,-0.47177174775743436,1.0,0.0,-1.6932370542904243,3.0
2024-11-14,-0.6774715846598522,1.0,0.0,-1.8997436466716346,3.0
2024-11-15,-0.739198597596015,1.0,0.0,-2.015585812794029,3.0
2024-11-18,-0.6679537403965524,1.0,0.0,-2.11006371653918,3.0
2024-11-19,-0.5375586192257267,1.0,0.0,-2.2491983877468913,3.0
2024-11-20,-0.38598015491513077,1.0,0.0,-2.44028762707702,3.0
2024-11-21,-0.24347863615143175,1.0,0.0,-2.5476797225214067,3.0
2024-11-22,-0.1402673890989045,1.0,0.0,-2.517681537871129,3.0
2024-11-25,-0.08465917801822681,1.0,0.0,-2.405477051204747,3.0
2024-11-26,-0.08576711082871648,1.0,0.0,-2.1905989602778027,3.0
2024-11-27,-0.1203852810214097,1.0,0.0,-1.918171059423473,3.0
2024-11-29,-0.17044808297159572,1.0,0.0,-1.6514333734208066,3.0
2024-12-02,-0.2454343055892388,1.0,0.0,-1.3890545391431601,3.0
2024-12-03,-0.3299239157181708,1.0,0.0,-1.1261637316905642,3.0
2024-12-04,-0.42615490315084903,1.0,0.0,-0.8929297614165863,3.0
2024-12-05,-0.5250479321324052,1.0,0.0,-0.6956967801100629,3.0
2024-12-06,-0.6068068612558288,1.0,0.0,-0.5166508534878264,3.0
2024-12-09,-0.6443465158605807,1.0,0.0,-0.3357063866182951,3.0
2024-12-10,-0.6046520118738743,1.0,0.0,-0.14419700713544578,3.0
2024-12-11,-0.5293315052248824,1.0,0.0,0.00587057541350539,2.0
2024-12-12,-0.4377023200802251,1.0,0.0,0.11220014178712699,2.0
2024-12-13,-0.31142201195342384,1.0,0.0,0.1924323154529903,2.0
2024-12-16,-0.1789792866365102,1.0,0.0,0.24240061900854443,2.0
2024-12-17,-0.043773578255115124,1.0,0.0,0.2971911896257882,2.0
2024-12-18,0.22635023653731046,0.0,0.0,0.4115643332607072,2.0
